|id|date|time|tweet|cleaned_text|Subjectivity|Polarity|Analysis_Polarity|Analysis_Subjectivity|label
418|1.55375E+18|31-07-2022|10.48.08|Russia has suffered over 75,000 casualties in Ukraine war: Report - World News  https://t.co/MVRUvUE3AB|russia suffered 75000 casualty ukraine war report world news|0|0|Neutral|Fact|spam
455|1.55375E+18|31-07-2022|10.38.06|@chrmills @wktong2012 @War_Mapper Which means that Ukraine would need at least 40,800 troops. However this assumes that they have the same firepower, but in reality Russia have a huge advantage in terms of equipment, especially in artillery and armored ve|mapper mean ukraine would need least 40800 troop however assumes firepower reality russia huge advantage term equipment especially artillery armored vehicle|0.746875|-0.053125|Negative|Opinion|spam
461|1.55375E+18|31-07-2022|10.36.50|@chrmills @wktong2012 @War_Mapper Can Ukraine do a successful Kherson counter offensive? Let’s make some calculations. Russia have around 17 BTG-s in the Kherson region, which accounts for  about 13,600 soldiers. Generally to make a successful offensive|mapper ukraine successful kherson counter offensive let make calculation russia around 17 btgs kherson region account 13600 soldier generally make successful offensive attacker need 3 1 advantage term men|0.8|0.516666667|Positive|Opinion|spam
480|1.55375E+18|31-07-2022|10.31.32|@GatorCosmist @shadesisla @Onbekend1952 @War_Mapper Which means that Ukraine would need at least 40,800 men. However this assumes that they have the same firepower, but in reality Russia have a huge advantage in terms of equipment, especially in artillery|mapper mean ukraine would need least 40800 men however assumes firepower reality russia huge advantage term equipment especially artillery armored vehicle ukraine would need 6 1 men 81600|0.746875|-0.053125|Negative|Opinion|spam
485|1.55375E+18|31-07-2022|10.30.03|@GatorCosmist @shadesisla @Onbekend1952 @War_Mapper Can Ukraine do a successful Kherson counteroffensive? Let’s make some calculations. Russia have around 17 BTG-s in the Kherson region, which accounts for approx 13,600 soldiers. Generally to make a suc|mapper ukraine successful kherson counteroffensive let make calculation russia around 17 btgs kherson region account approx 13600 soldier generally make successful offensive attacker need 3 1 advantage term manpower|0.8|0.516666667|Positive|Opinion|spam
558|1.55374E+18|31-07-2022|10.02.57|@caitoz Russia launched a brutal, unprovoked, unilateral invasion of Ukraine.  The US didn’t “do” anything different in 2022 or 2021.  You can’t just say that a peaceful visit is a trigger for war and expect that to be respected, countries don’t|russia launched brutal unprovoked unilateral invasion ukraine u anything different 2022 2021 say peaceful visit trigger war expect respected country get unilaterally blackmail others|0.7|-0.325|Negative|Opinion|spam
624|1.55374E+18|31-07-2022|9.44.00|Yes we gave Ukraine alot of aid to continue the war, but IMF/Fed also helped Russia with sanctions, instead of hurting Russia they increased its revenue. This isn't incompetence, it's  purposeful and aligns nicely with WEF goals /Agenda 2030/Great Reset.|yes gave ukraine alot aid continue war imffed also helped russia sanction instead hurting russia increased revenue isnt inpetence purposeful aligns nicely wef goal agenda 2030great reset|1|0.6|Positive|Opinion|spam
669|1.55373E+18|31-07-2022|9.28.06|"Very interesting: ""This is interview for Апостроф TV with military expert, currently military advisor of president of #Ukraine, Alexey #Arestovich. He described in details events of 2022, and war Russia - Ukraine in 18.03.2019"" (subtitled in English)  https://t.co/Cx4OcMIuX6"|interesting interview апостроф tv military expert currently military advisor president ukraine alexey arestovich described detail event 2022 war russia ukraine 18032019 subtitled english|0.175|0.075|Positive|Opinion|spam
676|1.55373E+18|31-07-2022|9.24.07|Russia has reduced natural gas supplies through the Nord Stream 1 pipeline to Germany to 20 per cent of capacity amid tensions over the war in Ukraine.  https://t.co/WgkdH4qadB|russia reduced natural gas supply nord stream 1 pipeline germany 20 per cent capacity amid tension war ukraine|0.4|0.1|Positive|Opinion|spam
779|1.55373E+18|31-07-2022|8.54.17|Well done boys!!!! 200 Marines of the 810th Marine Brigade of the Black Sea Fleet of Russia refused to return to the war in Ukraine, - said a representative of the Main Intelligence Directorate of the Ministry of Defense.|well done boy 200 marine 810th marine brigade black sea fleet russia refused return war ukraine said representative main intelligence directorate ministry defense|0.383333333|0|Neutral|Opinion|spam
826|1.55372E+18|31-07-2022|8.42.11|#babelstories The F-104 Starfighter plane was made by more than 500 companies, and Airbus cannot do without titanium from Russia. A story about how globalized the modern military industry is and why a country canʼt just buy a lot of tanks.  https://t.co/txtksRGhkx|babelstories f104 starfighter plane made 500 panies airbus cannot without titanium russia story globalized modern military industry country canʼt buy lot tank|0.2|0.05|Positive|Opinion|spam
869|1.55372E+18|31-07-2022|8.26.33|@colonelhomsi Isnt that what Russia tried to do from 2014-2020 as all Western Media Pushed Propaganda Against the Brave Warriors of Donetzk Russia tried to Avoid War for 8 years Ukraine ignored it now they are facing the conseqwences|isnt russia tried 20142020 western medium pushed propaganda brave warrior donetzk russia tried avoid war 8 year ukraine ignored facing conseqwences|0.366666667|0.233333333|Positive|Opinion|spam
881|1.55372E+18|31-07-2022|8.22.51|@amitk73 @shraddha_0227 @palkisu @ZelenskyyUa You are comparing apples with oranges. india and china has disputes but we haven’t yet started a war against each other. Its not the same case with ukraine. They pursued NATO membership despite the warnings |0227 paring apple orange india china dispute yet started war case ukraine pursued nato membership despite warning russia face consequence|0|0|Neutral|Fact|spam
911|1.55371E+18|31-07-2022|8.11.00|Switzerland saw nothing wrong with continuing to roll out the red carpet for Putin's accomplices, even after Russia's war of aggression against Ukraine started in 2014.   https://t.co/02v44Eb9x6|switzerland saw nothing wrong continuing roll red carpet putin acplices even russia war aggression ukraine started 2014|0.45|-0.25|Negative|Opinion|spam
938|1.55371E+18|31-07-2022|8.02.12|@FEDCanDoNoWrong @bencorke @martinradio @BBCRosAtkins @MaajidNawaz God what outdated arguments lol. Russia is entirely fascist and imperialist, the entire country has become a death cult where constant war crimes are celebrated, and you're hanging on to m|god outdated argument lol russia entirely fascist imperialist entire country bee death cult constant war crime celebrated youre hanging minor thread extremism ukraine azov azov 2014|0.552380952|0.1|Positive|Opinion|spam
945|1.55371E+18|31-07-2022|8.00.15|@shadesisla @Alex1911acp @War_Mapper It most definitely is if you consider that this is the most fortified area on the entire planet, and that Ukraine is losing up to 1000 soldiers a day while Russia and DLNR take their sweet time making steady and secure|mapper definitely consider fortified area entire planet ukraine losing 1000 soldier day russia dlnr take sweet time making steady secure progress|0.575|0.183333333|Positive|Opinion|spam
969|1.55371E+18|31-07-2022|7.52.32|@LechNowacki #Sting stinks of bloody rubles.. He performed for the Russian oligarchs after the invasion of Russia and Ukraine in 2014. When the war was going on and at the hands of the Russians, people were killed.  https://t.co/3TJRWcgPTA|sting stink bloody ruble performed russian oligarch invasion russia ukraine 2014 war going hand russian people killed|0.225|-0.25|Negative|Opinion|spam
979|1.55371E+18|31-07-2022|7.50.34|@Melomaniac12_UA #Sting stinks of bloody rubles.. He performed for the Russian oligarchs after the invasion of Russia and Ukraine in 2014. When the war was going on and at the hands of the Russians, people were killed.  https://t.co/3TJRWcgPTA|ua sting stink bloody ruble performed russian oligarch invasion russia ukraine 2014 war going hand russian people killed|0.225|-0.25|Negative|Opinion|spam
983|1.55371E+18|31-07-2022|7.49.43|@WBKfan @SFGate #Sting stinks of bloody rubles.. He performed for the Russian oligarchs after the invasion of Russia and Ukraine in 2014. When the war was going on and at the hands of the Russians, people were killed.  https://t.co/3TJRWcgPTA|sting stink bloody ruble performed russian oligarch invasion russia ukraine 2014 war going hand russian people killed|0.225|-0.25|Negative|Opinion|spam
993|1.55371E+18|31-07-2022|7.46.13|#Sting stinks of bloody rubles. He performed for the Russian oligarchs after the invasion of Russia and Ukraine in 2014. When the war was going on and at the hands of the Russians, people were killed.  https://t.co/3TJRWcgPTA|sting stink bloody ruble performed russian oligarch invasion russia ukraine 2014 war going hand russian people killed|0.225|-0.25|Negative|Opinion|spam
1016|1.55371E+18|31-07-2022|7.36.59|1/2⚡️200 Marines of the 810th Marine Brigade of the Black Sea Fleet of Russia refused to return to the war in Ukraine, -Vadym Skybytskyi, a spokesman for the Main Intelligence Directorate of the Ministry of Defense of Ukraine, said.|12 200 marine 810th marine brigade black sea fleet russia refused return war ukraine vadym skybytskyi spokesman main intelligence directorate ministry defense ukraine said|0.383333333|0|Neutral|Opinion|spam
1021|1.55371E+18|31-07-2022|7.34.14|1/2⚡️200 Marines of the 810th Marine Brigade of the Black Sea Fleet of Russia refused to return to the war in Ukraine, -Vadym Skybytskyi, a spokesman for the Main Intelligence Directorate of the Ministry of Defense of Ukraine, said.|12 200 marine 810th marine brigade black sea fleet russia refused return war ukraine vadym skybytskyi spokesman main intelligence directorate ministry defense ukraine said|0.383333333|0|Neutral|Opinion|spam
1041|1.5537E+18|31-07-2022|7.28.33|"RUSSIA KILLS UKRAINIAN PRISONERS OF WAR ""Explaining Ukraine"" podcast, Weekly digest, 25-31 July  https://t.co/mjwcdVZe1b  Over 50 Ukrainian POWs were killed in an explosion in Russian-occupied Olenivka. We analyze this crime in our podcast.  @ukraine_world @uacrisis @InternewsUA  https://t.co/fqQpQ3aJLc"|russia kill ukrainian prisoner war explaining ukraine podcast weekly digest 2531 july 50 ukrainian pow killed explosion russianoccupied olenivka analyze crime podcast world|0|-0.2|Negative|Fact|spam
1058|1.5537E+18|31-07-2022|7.22.54|International case study ..even it need in reecent time. Example doklam issue  Sevene sister issue  Russia Ukraine war S 400 deal etc.|international case study even need reecent time example doklam issue sevene sister issue russia ukraine war 400 deal etc|0|0|Neutral|Fact|spam
1062|1.5537E+18|31-07-2022|7.21.25|@OfficialSting Sting stinks. He performed for the Russian oligarchs after the invasion of Russia and Ukraine in 2014. When the war was going on and at the hands of the Russians, people were killed.  https://t.co/3TJRWcgPTA|sting stink performed russian oligarch invasion russia ukraine 2014 war going hand russian people killed|0|-0.066666667|Negative|Fact|spam
1073|1.5537E+18|31-07-2022|7.16.30|@kronopy @NenadicVesna @KittyCatC_007 @Valere_ia @africanerheart @DagnyTaggart369 @dmagcia @IrenaLenard @NikkiRo18946833 @redflag3rd @Ghostofk1ev @Biezer11 They have reurned Azovs in the past, do try and keep up Wed 29 Jun 2022 Ukraine announces largest e|007 ia reurned azovs past try keep wed 29 jun 2022 ukraine announces largest exchange prisoner war since russia invaded among azovstal defender swapped wednesday ukraine said 43 member azov regiment|0.25|-0.25|Negative|Opinion|spam
1085|1.5537E+18|31-07-2022|7.13.16|"@Ow_My_Back_ @shashj @RusGavrilov Mr Putin can't lose the war against Ukraine, that's just a fact. The idea of denazification not happening ( in 🇩🇪) after 1945, is accepted in Russia.  The July 30, 1937, emergency ""troikas"" of NKVD retweet by a  �"|myback mr putin cant lose war ukraine thats fact idea denazification happening 1945 accepted russia july 30 1937 emergency troika nkvd retweet diplomat found vsurprising however retweet|0|0|Neutral|Fact|spam
1090|1.5537E+18|31-07-2022|7.13.00|It is 'decolonisation reading' time 🔔 The rhetoric on both sides is completely identical – of the USSR &amp; the League of Nations in 1939 and of Russia &amp; the UN in 2022. It is not just 'similar,' it is seriously identical 🙄 Read our article to know more.  https://t.co/0FSZGKS9Y8|decolonisation reading time rhetoric side pletely identical ussr amp league nation 1939 russia amp un 2022 similar seriously identical read article know|0.533333333|-0.166666667|Negative|Opinion|spam
1117|1.5537E+18|31-07-2022|7.05.32|@RussianEmbassy @mfa_russia @RussiaUN @RF_OSCE @natomission_ru @DefenceHQ @BBCWorld @SkyNews @guardianworld @GBNEWS @TelegraphWorld In 2014 russia invaded Ukraine. This war will end when Ukraine clears the invaders from it's land. The west will deal with |russia osce ru 2014 russia invaded ukraine war end ukraine clear invader land west deal problem without russian interference putin destroying russia|0.127777778|-0.033333333|Negative|Opinion|spam
1187|1.55369E+18|31-07-2022|6.44.50|@li_dawei98 @MaxBlumenthal china will wait after russia solved the nazi problem in ukraine china will react, but its midterm so not with war with a all out trade boycott. the rinos and dems need a war to distract the us people, 50 percent inflation will b|dawei98 china wait russia solved nazi problem ukraine china react midterm war trade boycott rinos dems need war distract u people 50 percent inflation cure warcriminal hegemon|0|0|Neutral|Fact|spam
1200|1.55369E+18|31-07-2022|6.41.09|Russia Ukraine War: Europe is losing. Energy Inflation 41.9% Food Inflation 10.4% GDP of 27 countries are slowing down. Countries are going into a bigger mess now since winter is coming and need of gas from Russia will increase a lot.|russia ukraine war europe losing energy inflation 419 food inflation 104 gdp 27 country slowing country going bigger mess since winter ing need gas russia increase lot|0.3375|-0.0875|Negative|Opinion|spam
1215|1.55369E+18|31-07-2022|6.35.01|@Valere_ia @africanerheart @Earnest101 @IrenaLenard @ROSmit13 @NikkiRo18946833 @Ghostofk1ev @redflag3rd @Filomen03258997 @WilsonO36040576 @enfree1993 The #West  plans  for their #NewRulesBasedOrder, and proxy war with #Russia, to succeed. Senile, demented|ia west plan newrulesbasedorder proxy war russia succeed senile demented evil people charge biden worst president war stop 80 billion ukraine make zero sense still oligarch want depopulate |1|-1|Negative|Opinion|spam
1223|1.55369E+18|31-07-2022|6.31.43|@d_bones81 @bobrealism @tshugart3 ~40-50 years. Russia hadn’t fought a large scale war since Afghanistan, how is Ukraine going for them? Hilarious that you think China is just magically going to beat a US military that has been perpetually getting actua|bones81 4050 year russia fought large scale war since afghanistan ukraine going hilarious think china magically going beat u military perpetually getting actual bat experience 80 year straight|0.46122449|0.180612245|Positive|Opinion|spam
1251|1.55369E+18|31-07-2022|6.18.56|Yes Russia burned those people alive.  But regardless it is 100% a war crime.  NOTE:  Keeping POWs so close to the front violates Article 19 of the Third Geneva Convention.  And yes, HIMARS would have flattened the building, not burnt it.  RUSSIA LIES.  #Olenivka #Ukraine  https://t.co/sO7MAynd5z|yes russia burned people alive regardless 100 war crime note keeping pow close front violates article 19 third geneva convention yes himars would flattened building burnt russia lie olenivka ukraine|0.2|0.05|Positive|Opinion|spam
1253|1.55369E+18|31-07-2022|6.18.21|"@Cirincione @ScottMcConnell9 @russia_matters The Siloviks see post Cold War NATO destruction of ""Southern Slavia"" as a pre-run:  1. Balkans a) Serbia (1994-1999) i. Ethnic cleansed Bosnian, Croation, Kosovian Serbs ii. Bombed Belgrade iii. Regime changed "|matter siloviks see post cold war nato destruction southern slavia prerun 1 balkan serbia 19941999 ethnic cleansed bosnian croation kosovian serb ii bombed belgrade iii regime changed iv prosecuted leader 2 black sea georgia 2008 b ukraine 2005gt|0.477777778|-0.255555556|Negative|Opinion|spam
1265|1.55368E+18|31-07-2022|6.12.15|SSSEEEEEEEE?! THE WEST IS SUPPLYING THE UKRAINE WITH WEAPONS AND SOVIET RUSSIA WITH FUNDS, THIS WAR IS STAGED TO ENTRENCH US HEGEMONY FOR THE NEXT 694202137 YEARS I TELLS YA|ssseeeeeeee west supplying ukraine weapon soviet russia fund war staged entrench u hegemony next 694202137 year tell ya|0|0|Neutral|Fact|spam
1319|1.55368E+18|31-07-2022|5.53.55|@khan_sanie Busss kal Psx crash ker Jai gee. 😂. Last time, Ukraine Russia key war mein -1500 neechay gai thee. I mean wtf, we were no where in Russia war but still managed to loose big time....|sanie buss kal psx crash ker jai gee last time ukraine russia key war mein 1500 neechay gai thee mean wtf russia war still managed loose big time|0.520566239|-0.148237179|Negative|Opinion|spam
1328|1.55368E+18|31-07-2022|5.50.29|@Adenekanseyi @UnitedAfrika07 @sarnchos Your exact thought? My question to you is if you know the project started in the year 2020? Also, does that then mean Russia/Ukraine war started in 2020?|exact thought question know project started year 2020 also mean russiaukraine war started 2020|0.46875|-0.03125|Negative|Opinion|spam
1405|1.55367E+18|31-07-2022|5.25.30|"@mtracey USA funded a war to protect hidden BioChemical Weapons in Ukraine. Paid 70B. Called it ""Democracy"" but we didn't vote."" My question is who can they tell? Russia is like BLM now. Russia met with 1/10th of the world this week. Who did they?"|usa funded war protect hidden biochemical weapon ukraine paid 70b called democracy didnt vote question tell russia like blm russia met 110th world week|0.333333333|-0.166666667|Negative|Opinion|spam
1546|1.55366E+18|31-07-2022|4.37.45|UKraine news on @bbcworldservice at 0930 AM BST on 31.07 - listen live:  https://t.co/yfGoCQMiZo  Russia says it has invited experts from the United Nations and the Red Cross to investigate the deaths of more than fifty Ukrainian prisoners of war in the occupied part of Donetsk.|ukraine news 0930 bst 3107 listen live russia say invited expert united nation red cross investigate death fifty ukrainian prisoner war occupied part donetsk|0.166666667|0.045454545|Positive|Opinion|spam
1594|1.55366E+18|31-07-2022|4.25.20|The last day of July is Day 158 of #Russia's war of choice.  Each day I document the major news and events, along with analysis. I've been working in #Ukraine for 20 years  and studying the relationship with its neighbour as Putin became more and more aggressive. Enjoy the thread|last day july day 158 russia war choice day document major news event along analysis ive working ukraine 20 year studying relationship neighbour putin became aggressive enjoy thread|0.355555556|0.154166667|Positive|Opinion|spam
1601|1.55366E+18|31-07-2022|4.22.12|@ClarkeMicah Or, are you still going with the 'oh this is Ukraine and America's fault that Russia invaded in 2014 and 2022 and caused mass death, torture and killing'? You told your readers about the OSCE report detailing Russia's systemic war crimes (one|still going oh ukraine america fault russia invaded 2014 2022 caused mass death torture killing told reader osce report detailing russia systemic war crime one rewarded putin think|0|0|Neutral|Fact|spam
1632|1.55366E+18|31-07-2022|4.14.07|1️⃣5️⃣8️⃣ days of full-scale #Russia’s war against #Ukraine.  Today’s update on the losses of Armed Forces of Russian Federation in Ukraine ⬇️ As of 31 July 2022.  #UkraineUnderAttack #RussiaInvadedUkraine #StopRussianAggression #StandWithUkraine  https://t.co/LRylj9Qk6O|1 5 8 day fullscale russia war ukraine today update loss armed force russian federation ukraine 31 july 2022 ukraineunderattack russiainvadedukraine stoprussianaggression standwithukraine|0|0|Neutral|Fact|spam
1634|1.55365E+18|31-07-2022|4.13.11|Uncivilized Russia just killed 50 Ukrainian prisoners of war with a missile fired at the prison they were held at , primitive Russia needs to pay for these atrocities they are committing in Ukraine  !|war ukraine supposed happen 2016 hillary clinton trumprussia hoax response justify didnt win|0.4|0.8|Positive|Opinion|spam
1656|1.55365E+18|31-07-2022|4.05.11|@dreamweaversd81 @Romokh @MiftahIsmail Yes 17 billion dollar when int oil prices are $40 higher than in 2018 when current account deficit was 20 billion dollar. We were all set to have current account deficit of 14 or 15 billion dollar but since march due|yes 17 billion dollar int oil price 40 higher 2018 current account deficit 20 billion dollar set current account deficit 14 15 billion dollar since march due russia ukraine war oil price considerably higher|0.435|0.075|Positive|Opinion|spam
1664|1.55365E+18|31-07-2022|4.02.09|"@RunarBerg91 @KyivIndependent It would also make it slightly more awkward for Russian govt to force ""tourists"" to visit Baltic countries. Need to study &amp; score at least 80% on a pop quiz of Russia's 100 worst war crimes in Ukraine before being allowed"|would also make slightly awkward russian govt force tourist visit baltic country need study amp score least 80 pop quiz russia 100 worst war crime ukraine allowed entrance|0.6|-0.475|Negative|Opinion|spam
1667|1.55365E+18|31-07-2022|4.00.52|"The Non-western' world's view of the Ukraine war is different than that of the West. NATO's expansion efforts are responsible for the Ukraine war rather than the Kremlin , it’s 60:40 in ratio ! The expansion of the ""NATO war alliance"" is practically a threat to Russia ! # views"|nonwestern world view ukraine war different west nato expansion effort responsible ukraine war rather kremlin 6040 ratio expansion nato war alliance practically threat russia view|0.575|0.1|Positive|Opinion|spam
1684|1.55365E+18|31-07-2022|3.54.26|Uncivilized Russia just killed 50 Ukrainian prisoners of war with a missile fired at the prison they were held at , primitive Russia needs to pay for these atrocities they are committing in Ukraine  !|uncivilized russia killed 50 ukrainian prisoner war missile fired prison held primitive russia need pay atrocity mitting ukraine |0|-0.2|Negative|Fact|spam
1697|1.55365E+18|31-07-2022|3.49.17|@GBNEWS Do you actually believe Russia has lost 75,000 soldiers in the Ukraine war? Pigs are flying.|actually believe russia lost 75000 soldier ukraine war pig flying|0.1|0|Neutral|Opinion|spam
1707|1.55365E+18|31-07-2022|3.46.56|#Russia #Ukraine 🇷🇺🇺🇦: A recent photo posted by combatants from #Georgia 🇬🇪 (part of #Ukrainian Forces) with quite modern weaponry.  Fighters seem to be carrying FN SCAR-L Mk2 rifles with Trijicon ACOG scopes, M4A1 carbine and a Savage Arms 10 FCP-SR rifle with MTD TAC21 chassis.  https://t.co/np0cf2oX8f|russia ukraine recent photo posted batants georgia part ukrainian force quite modern weaponry fighter seem carrying fn scarl mk2 rifle trijicon acog scope m4a1 carbine savage arm 10 fcpsr rifle mtd tac21 chassis|0.275|0.1|Positive|Opinion|spam
1728|1.55365E+18|31-07-2022|3.39.15|@dknoli76 @Dosadian @ThinkDeeper71 @MalcolmNance Russia being the only country to have used and actively use PFM-1 mines, with Belarus having a stockpile of them (that was announced in 2017). So you’re saying Russia and Belarussia is giving Ukraine thei|russia country used actively use pfm1 mine belarus stockpile announced 2017 saying russia belarussia giving ukraine weapon|0.6|-0.133333333|Negative|Opinion|spam
1729|1.55365E+18|31-07-2022|3.38.51|Russia-Ukraine war live: drone hits Russia’s Black Sea fleet HQ; Zelenskiy urges civilians to leave Donetsk   https://t.co/ka3CTAj6dm July 31, 2022 at 08:30AM|russiaukraine war live drone hit russia black sea fleet hq zelenskiy urge civilian leave donetsk july 31 2022 0830am|0.466666667|-0.015151515|Negative|Opinion|spam
1730|1.55365E+18|31-07-2022|3.38.40|Russia-Ukraine war: drone hits Russia’s Black Sea fleet HQ; Zelenskiy urges civilians to leave Donetsk – latest updates   https://t.co/BgpHpZ5I6g July 31, 2022 at 07:15AM|russiaukraine war drone hit russia black sea fleet hq zelenskiy urge civilian leave donetsk latest update july 31 2022 0715am|0.666666667|0.166666667|Positive|Opinion|spam
